epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,57.087,0.34555,0.3262,0.81991,0.95908,0.5,0.70181,0.59713,0.98453,1.9927,1.70198,0.000848969,0.000848969,0.000848969
43,58.3329,0.34518,0.33246,0.83368,0.8444,0.66667,0.87083,0.73987,0.97546,2.26289,1.6545,0.000834822,0.000834822,0.000834822
44,59.6553,0.35836,0.35842,0.82629,0.88573,0.71206,0.9163,0.80651,0.6016,1.65177,1.14612,0.000820675,0.000820675,0.000820675
45,60.9157,0.35758,0.33677,0.84288,0.70222,0.81038,0.69508,0.61732,0.67245,1.68996,1.24701,0.000806528,0.000806528,0.000806528
46,62.1584,0.35544,0.39996,0.83852,0.70976,0.78101,0.70683,0.62383,0.66207,1.45482,1.25379,0.00079238,0.00079238,0.00079238
47,63.4054,0.34075,0.30307,0.85275,0.76755,0.70333,0.74001,0.6521,0.68811,1.64165,1.34581,0.000778233,0.000778233,0.000778233
48,64.7046,0.36073,0.31079,0.82289,0.70647,0.82832,0.96956,0.82951,0.83212,1.35865,1.76273,0.000764086,0.000764086,0.000764086
49,66.0765,0.3331,0.32797,0.82766,0.7222,0.83775,0.995,0.84818,0.79712,1.24297,1.74419,0.000749939,0.000749939,0.000749939
50,67.5876,0.33286,0.3152,0.84253,0.69867,0.86065,0.77389,0.64392,0.82133,1.1341,1.76714,0.000735792,0.000735792,0.000735792
51,68.9173,0.35602,0.2979,0.81993,0.64609,0.72527,0.7987,0.66358,0.85432,0.99686,1.82668,0.000721645,0.000721645,0.000721645
52,70.2103,0.3748,0.3666,0.87049,0.79318,1,0.93944,0.79694,0.87819,0.50071,1.79106,0.000707498,0.000707498,0.000707498
53,71.5002,0.33034,0.2744,0.84225,0.97682,0.96454,0.995,0.82126,0.89543,0.4459,1.67233,0.000693351,0.000693351,0.000693351
54,72.8032,0.32197,0.28747,0.82087,0.75093,0.94962,0.90367,0.73999,0.87295,0.70164,1.63759,0.000679204,0.000679204,0.000679204
55,74.1225,0.34162,0.31965,0.83755,0.76659,0.93466,0.895,0.7276,0.86582,0.59737,1.66802,0.000665057,0.000665057,0.000665057
56,75.4177,0.37565,0.28968,0.83885,0.9437,0.96091,0.995,0.84346,0.8819,0.41194,1.78016,0.000650909,0.000650909,0.000650909
57,76.6728,0.33798,0.29361,0.83669,0.96921,0.96635,0.995,0.83733,0.86507,0.41428,1.75074,0.000636762,0.000636762,0.000636762
58,78.4825,0.38265,0.28837,0.85152,0.97063,0.95833,0.9662,0.83413,0.81781,0.46855,1.6165,0.000622615,0.000622615,0.000622615
59,79.7942,0.35641,0.28897,0.80914,0.98289,0.9615,0.995,0.85672,0.7415,0.37062,1.48875,0.000608468,0.000608468,0.000608468
60,81.2241,0.31643,0.25482,0.82096,0.9805,1,0.995,0.83043,0.73649,0.35065,1.45208,0.000594321,0.000594321,0.000594321
61,82.45,0.32434,0.24553,0.80201,0.97607,1,0.995,0.86204,0.71599,0.36039,1.43223,0.000580174,0.000580174,0.000580174
62,83.8473,0.32544,0.27291,0.81368,0.96749,0.99358,0.995,0.87208,0.69998,0.35222,1.41349,0.000566027,0.000566027,0.000566027
63,85.2497,0.35566,0.34331,0.84544,0.9721,0.96563,0.995,0.88382,0.68662,0.37306,1.35822,0.00055188,0.00055188,0.00055188
